"id","fecha","rango_horario","dia_semana","distrito","lugar_accidente","nº","nº_parte","cpfa_granizo","cpfa_hielo","cpfa_lluvia","cpfa_niebla","cpfa_seco","cpfa_nieve","cpsv_mojada","cpsv_aceite","cpsv_barro","cpsv_grava_suelta","cpsv_hielo","cpsv_seca_y_limpia","nº_victimas","tipo_accidente","tipo_vehiculo","tipo_persona","sexo","lesividad","tramo_edad","nº_victimas_2","ano","dia_mes","mes"
"AccidentesBicicletas_2010.xlsx",2010-01-05,"DE 17:00 A 17:59","MARTES","VILLAVERDE","PASEO DE LOS TALLERES NUM",3,"2010/112","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"COLISIÓN DOBLE","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 55 A 59 AÑOS",NA,2010,5,1
"AccidentesBicicletas_2010.xlsx",2010-01-10,"DE 15:00 A 15:59","DOMINGO","CIUDAD LINEAL","CALLE DE ARTURO SORIA NUM",316,"2010/523","NO","NO","NO","NO","SI","NO","SI","NO","NO","NO","NO","NO",1,"COLISIÓN DOBLE","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 65 A 69 AÑOS",NA,2010,10,1
"AccidentesBicicletas_2010.xlsx",2010-01-14,"DE 14:00 A 14:59","JUEVES","TETUAN","PASEO DE LA CASTELLANA NUM",95,"2010/582","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"CAÍDA BICICLETA","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 40 A 44 AÑOS",NA,2010,14,1
"AccidentesBicicletas_2010.xlsx",2010-01-17,"DE 14:00 A 14:59","DOMINGO","VILLAVERDE","CALLE DE ALCOCER - CALLE DE ARECHAVALETA",0,"2010/494","NO","NO","SI","NO","NO","NO","SI","NO","NO","NO","NO","NO",1,"COLISIÓN DOBLE","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 35 A 39 AÑOS",NA,2010,17,1
"AccidentesBicicletas_2010.xlsx",2010-01-18,"DE 19:00 A 19:59","LUNES","ARGANZUELA","PASEO DE PONTONES NUM",18,"2010/708","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"COLISIÓN DOBLE","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 25 A 29 AÑOS",NA,2010,18,1
"AccidentesBicicletas_2010.xlsx",2010-01-19,"DE 20:00 A 20:59","MARTES","CENTRO","CALLE DE ATOCHA NUM",110,"2010/574","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"COLISIÓN DOBLE","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 25 A 29 AÑOS",NA,2010,19,1
"AccidentesBicicletas_2010.xlsx",2010-01-21,"DE 10:00 A 10:59","JUEVES","CENTRO","CALLE DEL CONDE DUQUE NUM",12,"2010/884","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"CAÍDA BICICLETA","BICICLETA","CONDUCTOR","MUJER","HL","DE 25 A 29 AÑOS",NA,2010,21,1
"AccidentesBicicletas_2010.xlsx",2010-01-21,"DE 18:00 A 18:59","JUEVES","VICALVARO","CALLE DE LA PIROTECNIA NUM",1,"2010/614","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"COLISIÓN DOBLE","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 65 A 69 AÑOS",NA,2010,21,1
"AccidentesBicicletas_2010.xlsx",2010-01-25,"DE 8:00 A 8:59","LUNES","MONCLOA-ARAVACA","CARRETERA DEL ZARZON NUM",6,"2010/695","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"CAÍDA BICICLETA","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 45 A 49 AÑOS",NA,2010,25,1
"AccidentesBicicletas_2010.xlsx",2010-01-25,"DE 16:00 A 16:59","LUNES","CHAMBERI","AVENIDA DEL VALLE - PASEO DE JUAN XXIII",0,"2010/707","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"CAÍDA BICICLETA","BICICLETA","CONDUCTOR","MUJER","HL","DE 40 A 44 AÑOS",NA,2010,25,1
"AccidentesBicicletas_2010.xlsx",2010-02-02,"DE 11:00 A 11:59","MARTES","CARABANCHEL","AVENIDA DE LOS POBLADOS - AVENIDA DE LA PRINCESA JUANA DE AUSTRIA",0,"2010/1137","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"COLISIÓN DOBLE","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 45 A 49 AÑOS",NA,2010,2,2
"AccidentesBicicletas_2010.xlsx",2010-02-03,"DE 9:00 A 9:59","MIERCOLES","RETIRO","PASEO DEL PARAGUAY",0,"2010/1028","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"CAÍDA BICICLETA","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 25 A 29 AÑOS",NA,2010,3,2
"AccidentesBicicletas_2010.xlsx",2010-02-03,"DE 15:00 A 15:59","MIERCOLES","CHAMBERI","PLAZA DE SAN JUAN DE LA CRUZ NUM",1,"2010/1014","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"COLISIÓN DOBLE","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 40 A 44 AÑOS",NA,2010,3,2
"AccidentesBicicletas_2010.xlsx",2010-02-07,"DE 10:00 A 10:59","DOMINGO","PUENTE DE VALLECAS","AVENIDA DE MIGUEL HERNANDEZ - AVENIDA DE BUENOS AIRES",0,"2010/1184","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"OTRAS CAUSAS","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 45 A 49 AÑOS",NA,2010,7,2
"AccidentesBicicletas_2010.xlsx",2010-02-08,"DE 10:00 A 10:59","LUNES","SALAMANCA","CALLE DE ALCALA - CALLE DE O'DONNELL",0,"2010/1376","NO","NO","SI","NO","NO","NO","SI","NO","NO","NO","NO","NO",1,"COLISIÓN DOBLE","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 45 A 49 AÑOS",NA,2010,8,2
"AccidentesBicicletas_2010.xlsx",2010-02-10,"DE 13:00 A 13:59","MIERCOLES","CHAMBERI","PASEO DE LA CASTELLANA - CALLE DE JOSE ABASCAL",0,"2010/1262","NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO","SI",1,"COLISIÓN DOBLE","BICICLETA","CONDUCTOR","HOMBRE","HL","DE 25 A 29 AÑOS",NA,2010,10,2
